Op,Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
WS,F4,SS,1,64,64,64,128,4215389,32.9327,15919.982266865458
WS,F4,SS,1,64,64,64,256,8318827,32.4954,16134.222074509009
WS,F4,SS,1,64,64,64,512,16510823,32.2477,16258.151744155397
WS,F4,SS,1,64,64,64,1024,32925091,32.1534,16305.83390870017
WS,F4,SS,1,64,128,64,64,3191263,49.8635,21028.928976104766
WS,F4,SS,1,64,128,64,128,6263263,48.9317,21429.380135985466
WS,F4,SS,1,64,128,64,256,12416409,48.5016,21619.410493674433
WS,F4,SS,1,64,128,64,512,24704048,48.2501,21732.100037098367
WS,F4,SS,1,64,128,64,1024,49305688,48.1501,21777.23410750964
WS,F4,SS,1,64,256,64,64,5239265,81.8635,25617.668435871907
WS,F4,SS,1,64,256,64,128,10358956,80.9293,25913.38365709329
WS,F4,SS,1,64,256,64,256,20608261,80.501,26051.25402168917
WS,F4,SS,1,64,256,64,512,41088685,80.2513,26132.311875321644
WS,F4,SS,1,64,256,64,1024,82074747,80.1511,26164.980892339594
WS,F4,SS,1,128,64,64,64,3205263,50.0822,20937.099408572307
WS,F4,SS,1,128,64,64,128,6277263,49.0411,21381.57586187912
WS,F4,SS,1,128,64,64,256,12429895,48.5543,21595.9451583073
WS,F4,SS,1,128,64,64,512,24718443,48.2782,21719.45101515798
WS,F4,SS,1,128,64,64,1024,49320726,48.1648,21770.58764907152
WS,F4,SS,1,128,128,64,64,4875389,76.178,27529.627976581167
WS,F4,SS,1,128,128,64,128,9611883,75.0928,27927.471075788893
WS,F4,SS,1,128,128,64,256,19092811,74.5813,28119.005702501832
WS,F4,SS,1,128,128,64,512,38036813,74.2907,28228.997707653853
WS,F4,SS,1,128,128,64,1024,75952915,74.1728,28273.868587945988
WS,F4,SS,1,128,256,64,64,8970956,140.1712,29922.72307007431
WS,F4,SS,1,128,256,64,128,17802956,139.0856,30156.27786054056
WS,F4,SS,1,128,256,64,256,35476082,138.5784,30266.65050253142
WS,F4,SS,1,128,256,64,512,70801548,138.2843,30331.02094742498
WS,F4,SS,1,128,256,64,1024,141485718,138.1696,30356.199916624206
WS,F4,TS,1,32,64,64,64,1899391,29.678,8832.940225082553
WS,F4,TS,1,32,64,64,128,3691391,28.839,9089.912965082007
WS,F4,TS,1,32,64,64,256,7284319,28.4544,9212.775528565002
WS,F4,TS,1,32,64,64,512,14452020,28.2266,9287.126327648388
WS,F4,TS,1,32,64,64,1024,28815289,28.1399,9315.740283369876
WS,F4,TS,1,32,128,64,64,2923391,45.678,11477.910591532029
WS,F4,TS,1,32,128,64,128,5739391,44.839,11692.67824884587
WS,F4,TS,1,32,128,64,256,11381002,44.457,11793.148435566953
WS,F4,TS,1,32,128,64,512,22644866,44.2283,11854.129595756564
WS,F4,TS,1,32,128,64,1024,45199169,44.1398,11877.897045296988
WS,F4,TS,1,32,256,64,64,4971391,77.678,13499.008728340072
WS,F4,TS,1,32,256,64,128,9835672,76.8412,13646.012816041395
WS,F4,TS,1,32,256,64,256,19572450,76.4549,13714.961369382474
WS,F4,TS,1,32,256,64,512,39028871,76.2283,13755.731139222571
WS,F4,TS,1,32,256,64,1024,77966720,76.1394,13771.792265239812
WS,F4,TS,1,64,64,64,64,1899141,29.6741,17668.20223696759
WS,F4,TS,1,64,64,64,128,3691141,28.837,18181.086798210632
WS,F4,TS,1,64,64,64,256,7284565,28.4553,18424.968283588645
WS,F4,TS,1,64,64,64,512,14452565,28.2277,18573.528838693906
WS,F4,TS,1,64,64,64,1024,28814947,28.1396,18631.679199420032
WS,F4,TS,1,64,128,64,64,2923391,45.678,22955.821183064058
WS,F4,TS,1,64,128,64,128,5739391,44.839,23385.35649769174
WS,F4,TS,1,64,128,64,256,11381002,44.457,23586.296871133905
WS,F4,TS,1,64,128,64,512,22644866,44.2283,23708.259191513127
WS,F4,TS,1,64,128,64,1024,45199306,44.1399,23755.740271273837
WS,F4,TS,1,64,256,64,64,4971391,77.678,26998.017456680143
WS,F4,TS,1,64,256,64,128,9835672,76.8412,27292.02563208279
WS,F4,TS,1,64,256,64,256,19572415,76.4547,27429.994493471295
WS,F4,TS,1,64,256,64,512,39028871,76.2283,27511.462278445142
WS,F4,TS,1,64,256,64,1024,77966697,76.1394,27543.584530479624
WS,F4,TS,1,128,64,64,64,2795389,43.678,24006.9600256422
WS,F4,TS,1,128,64,64,128,5483389,42.839,24477.13532061906
WS,F4,TS,1,128,64,64,256,10868811,42.4563,24697.771591024182
WS,F4,TS,1,128,64,64,512,21620813,42.2282,24831.17916463406
WS,F4,TS,1,128,64,64,1024,43151200,42.1398,24883.269498194106
WS,F4,TS,1,128,128,64,64,4843017,75.6721,27713.675185438227
WS,F4,TS,1,128,128,64,128,9579635,74.8409,28021.469544059462
WS,F4,TS,1,128,128,64,256,19059943,74.4529,28167.4991840479
WS,F4,TS,1,128,128,64,512,38003945,74.2265,28253.41353829158
WS,F4,TS,1,128,128,64,1024,75918352,74.139,28286.758656037986
WS,F4,TS,1,128,256,64,64,8939883,139.6857,30026.72428172676
WS,F4,TS,1,128,256,64,128,17771883,138.8428,30209.013358993045
WS,F4,TS,1,128,256,64,256,35444811,138.4563,30293.34165364812
WS,F4,TS,1,128,256,64,512,70770322,138.2233,30344.40647850254
WS,F4,TS,1,128,256,64,1024,141453241,138.1379,30363.166082588486
